mass[GeV]	e_e	mu_mu	tau_tau	nue_nue	numu_numu	nutau_nutau	quarks
0.14300000000000002	1.2791313878970197e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.14400000000000002	1.288076362672201e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.14500000000000002	1.2970213374466739e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.146	1.3059663122204602e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.147	1.3149112869935853e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.148	1.3238562617660702e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.149	1.3328012365379366e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.15	1.341746211309205e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.151	1.3506911860798957e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.152	1.3596361608500256e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.153	1.3685811356196152e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.154	1.3775261103886807e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.155	1.3864710851572394e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.156	1.3954160599253068e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.157	1.4043610346928991e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.158	1.4133060094600305e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.159	1.4222509842267165e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.16	1.43119595899297e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.161	1.4401409337588044e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.162	1.4490859085242335e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.163	1.4580308832892686e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.164	1.466975858053922e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.165	1.475920832818205e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.166	1.4848658075821294e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.167	1.493810782345705e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.168	1.5027557571089424e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.169	1.5117007318718516e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.17	1.5206457066344426e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.171	1.5295906813967238e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.17200000000000001	1.5385356561587052e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.17300000000000001	1.5474806309203946e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.17400000000000002	1.5564256056818002e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.17500000000000002	1.5653705804429313e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.17600000000000002	1.5743155552037943e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.177	1.583260529964397e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.178	1.5922055047247471e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.179	1.6011504794848516e-09	0.0	0.0	0.0	0.0	0.0	0.0
0.18	1.6100954542447169e-09	0.0	0.0	0.0	0.0	0.0	0.0
