mass[GeV]	e_e	mu_mu	tau_tau	neutrinos	piGamma	total
1.1363636363636365	4.9201123654032144e-08	2.146232138710004e-08	0.0	7.380306779911164e-08	1.7581430642216585e-12	1.4446827098330807e-07
1.1555555555555557	5.0032106831603225e-08	2.248124961210887e-08	0.0	7.504951961083006e-08	1.9237023484316697e-12	1.4756479975689059e-07
1.1747474747474747	5.086308950919421e-08	2.3503529876956486e-08	0.0	7.629597142254842e-08	2.1015247429088682e-12	1.5066469233344204e-07
1.1939393939393939	5.169407171091457e-08	2.4528580642850774e-08	0.0	7.75424232342668e-08	2.292426629260384e-12	1.5376736801466141e-07
1.213131313131313	5.2525053459348094e-08	2.5555878113190407e-08	0.0	7.878887504598468e-08	2.4972911676308753e-12	1.5687230390969082e-07
1.2323232323232323	5.3356034775672674e-08	2.6584950751567034e-08	0.0	8.003532685770349e-08	2.717075777634199e-12	1.5997902946072084e-07
1.2515151515151515	5.418701567976577e-08	2.7615374319271182e-08	0.0	8.128177866942161e-08	2.9528183841922653e-12	1.6308712148684275e-07
1.2707070707070707	5.501799619030531e-08	2.8646767385279057e-08	0.0	8.25282304811402e-08	3.20565189600825e-12	1.6619619970862059e-07
1.2898989898989899	5.584897632485648e-08	2.967878726505393e-08	0.0	8.377468229285809e-08	3.4768120517297663e-12	1.6930592269482026e-07
1.309090909090909	5.667995609995595e-08	3.0711126347915286e-08	0.0	8.502113410457662e-08	3.767646376014286e-12	1.7241598419882385e-07
1.3282828282828283	5.751093553118325e-08	3.17435087760597e-08	0.0	8.626758591629505e-08	4.079636017632244e-12	1.7552610985955565e-07
1.3474747474747475	5.834191463323113e-08	3.2775687441532737e-08	0.0	8.751403772801329e-08	4.4144064799462694e-12	1.7863605420925708e-07
1.3666666666666667	5.91728934199671e-08	3.380744127047271e-08	0.0	8.876048953973165e-08	4.773745750519764e-12	1.81745597975922e-07
1.385858585858586	6.000387190449002e-08	3.483857276678559e-08	0.0	9.000694135144988e-08	5.1596304066863074e-12	1.8485454565313216e-07
1.405050505050505	6.083485009918357e-08	3.586890579002772e-08	0.0	9.125339316316838e-08	5.574249436554028e-12	1.8796272330181624e-07
1.4242424242424243	6.166582801576351e-08	3.689828354468522e-08	0.0	9.249984497488635e-08	6.020034132845808e-12	1.9106997656946792e-07
1.4434343434343435	6.249680566532347e-08	3.792656676025162e-08	0.0	9.374629678660506e-08	6.499696850419818e-12	1.9417616890903058e-07
1.4626262626262627	6.332778305837308e-08	3.895363204350851e-08	0.0	9.49927485983229e-08	7.016267246322069e-12	1.972811799674508e-07
1.481818181818182	6.415876020487992e-08	3.997937038625226e-08	0.0	9.623920041004174e-08	7.573149792291817e-12	2.0038490415096623e-07
1.501010101010101	6.498973711429951e-08	4.100368581335332e-08	0.0	9.748565222175987e-08	8.174179983379741e-12	2.0348724932939608e-07
1.52020202020202	6.582071379561143e-08	4.202649415754673e-08	0.0	9.873210403347843e-08	8.823696330562632e-12	2.0658813568296718e-07
1.5393939393939393	6.665169025734648e-08	4.304772194868631e-08	0.0	9.997855584519655e-08	9.52663411191515e-12	2.0968749468534125e-07
1.5585858585858585	6.74826665076162e-08	4.406730540643092e-08	0.0	1.0122500765691519e-07	1.028863244668144e-11	2.1278526820340898e-07
1.5777777777777777	6.831364255413638e-08	4.508518952641141e-08	0.0	1.0247145946863325e-07	1.1116171003555514e-11	2.158814077201846e-07
1.596969696969697	6.914461840425295e-08	4.6101327250930935e-08	0.0	1.037179112803514e-07	1.2016739106212449e-11	2.1897587367464152e-07
