mass[GeV]	DM
0.153	0.003697210989417002
0.154	0.003721375767125611
0.155	0.0037455405448342193
0.156	0.003769705322542827
0.157	0.0037938701002514347
0.158	0.003818034877960042
0.159	0.00384219965566865
0.16	0.0038663644333772574
0.161	0.003890529211085865
0.162	0.003914693988794474
0.163	0.003938858766503082
0.164	0.003963023544211691
0.165	0.003987188321920297
0.166	0.0040113530996289054
0.167	0.004035517877337514
0.168	0.004059682655046121
0.169	0.004083847432754729
0.17	0.004108012210463338
0.171	0.004132176988171946
0.17200000000000001	0.004156341765880553
0.17300000000000001	0.00418050654358916
0.17400000000000002	0.004204671321297769
0.17500000000000002	0.004228836099006376
0.17600000000000002	0.004253000876714984
0.177	0.004277165654423591
0.178	0.004301330432132198
0.179	0.0043254952098408074
0.18	0.004349659987549416
0.181	0.004373824765258023
0.182	0.004397989542966631
0.183	0.004422154320675239
0.184	0.004446319098383847
0.185	0.004470483876092455
0.186	0.004494648653801062
0.187	0.004518813431509669
0.188	0.004542978209218278
0.189	0.004567142986926886
0.19	0.004591307764635493
0.191	0.004615472542344101
0.192	0.0046396373200527094
0.193	0.004663802097761318
0.194	0.004687966875469926
0.195	0.004712131653178534
0.196	0.004736296430887141
0.197	0.00476046120859575
0.198	0.0047846259863043574
0.199	0.004808790764012964
0.2	0.004832955541721572
0.201	0.004857120319430181
0.202	0.004881285097138788
0.203	0.004905449874847397
0.20400000000000001	0.004929614652556005
0.20500000000000002	0.004953779430264612
0.20600000000000002	0.00497794420797322
0.20700000000000002	0.005002108985681828
0.20800000000000002	0.005026273763390436
0.20900000000000002	0.005050438541099045
0.21	0.005074603318807651
0.211	0.0050987680965162594
0.212	0.005122932874224866
0.213	0.005147097651933476
0.214	0.005171262429642083
0.215	0.00519542720735069
0.216	0.005219591985059299
0.217	0.005243756762767906
0.218	0.005267921540476513
0.219	0.005292086318185122
0.22	0.00531625109589373
0.221	0.005340415873602338
0.222	0.005364580651310944
0.223	0.005388745429019554
0.224	0.0054129102067281614
0.225	0.005437074984436769
0.226	0.005461239762145378
0.227	0.0054854045398539854
0.228	0.005509569317562594
0.229	0.005533734095271201
0.23	0.005557898872979809
0.231	0.005582063650688416
0.232	0.005606228428397023
0.233	0.005630393206105632
